group,model_name,file_path,val_loss,val_accuracy,macro_f1,weighted_f1,negative_precision,negative_recall,negative_f1,neutral_precision,neutral_recall,neutral_f1,positive_precision,positive_recall,positive_f1,confusion_matrix
epoch100,main_base_best_val_accuracy,models2/main_base_best_val_accuracy.keras,0.4255405068397522,0.9161148071289062,0.882401416464344,0.9168605501343925,0.7466666666666667,0.9180327868852459,0.8235294117647058,0.9602888086642599,0.9568345323741008,0.9585585585585585,0.9207920792079208,0.8157894736842105,0.8651162790697674,"[[56, 0, 5], [9, 266, 3], [10, 11, 93]]"
epoch100,sub_lightweight_best_val_loss,models2/sub_lightweight_best_val_loss.keras,0.3115120232105255,0.9050772786140442,0.8587842706334499,0.9050581350577169,0.8148148148148148,0.7213114754098361,0.7652173913043478,0.9669117647058824,0.9460431654676259,0.9563636363636364,0.8110236220472441,0.9035087719298246,0.8547717842323651,"[[44, 3, 14], [5, 263, 10], [5, 6, 103]]"
earlystop,sub_lightweight,models/sub_lightweight.keras,0.2944506108760834,0.9006622433662415,0.8479527022701735,0.8998137509145925,0.8541666666666666,0.6721311475409836,0.7522935779816514,0.9637681159420289,0.9568345323741008,0.9602888086642599,0.7829457364341085,0.8859649122807017,0.831275720164609,"[[41, 2, 18], [2, 266, 10], [5, 8, 101]]"
earlystop,sub_best_val_accuracy,models/sub_best_val_accuracy.keras,0.3892216682434082,0.8984547257423401,0.8509728491579671,0.8998628077797799,0.7101449275362319,0.8032786885245902,0.7538461538461538,0.9633699633699634,0.9460431654676259,0.9546279491833031,0.8558558558558559,0.8333333333333334,0.8444444444444444,"[[49, 3, 9], [8, 263, 7], [12, 7, 95]]"
epoch100,final_base_last_100epoch,models2/final_base_last_100epoch.keras,1.1728277206420898,0.887417197227478,0.8309985674886532,0.8879400796845708,0.6811594202898551,0.7704918032786885,0.7230769230769231,0.95,0.9568345323741008,0.953405017921147,0.8557692307692307,0.7807017543859649,0.8165137614678899,"[[47, 3, 11], [8, 266, 4], [14, 11, 89]]"
epoch100,main_base_best_val_loss,models2/main_base_best_val_loss.keras,0.33558833599090576,0.8807947039604187,0.8104080015844722,0.8810209614650597,0.6323529411764706,0.7049180327868853,0.6666666666666666,0.950530035335689,0.9676258992805755,0.9590017825311943,0.8529411764705882,0.7631578947368421,0.8055555555555556,"[[43, 4, 14], [8, 269, 1], [17, 10, 87]]"
earlystop,sub_negative_focus,models/sub_negative_focus.keras,0.3115575909614563,0.8741722106933594,0.797670687471243,0.8716090472746011,0.7058823529411765,0.5901639344262295,0.6428571428571429,0.9434628975265018,0.960431654676259,0.9518716577540107,0.7815126050420168,0.8157894736842105,0.7982832618025751,"[[36, 5, 20], [5, 267, 6], [10, 11, 93]]"
earlystop,main_best_overall,models/main_best_overall.keras,0.33769404888153076,0.8653421401977539,0.7859662980942254,0.8628490205459856,0.6491228070175439,0.6065573770491803,0.6271186440677966,0.9305555555555556,0.9640287769784173,0.9469964664310954,0.8055555555555556,0.7631578947368421,0.7837837837837838,"[[37, 9, 15], [4, 268, 6], [16, 11, 87]]"
earlystop,sub_best_val_loss,models/sub_best_val_loss.keras,0.33769404888153076,0.8653421401977539,0.7859662980942254,0.8628490205459856,0.6491228070175439,0.6065573770491803,0.6271186440677966,0.9305555555555556,0.9640287769784173,0.9469964664310954,0.8055555555555556,0.7631578947368421,0.7837837837837838,"[[37, 9, 15], [4, 268, 6], [16, 11, 87]]"
epoch100,sub_negative_focus_best_val_loss,models2/sub_negative_focus_best_val_loss.keras,0.37293049693107605,0.8587196469306946,0.8066477077527962,0.8625993101513654,0.7777777777777778,0.6885245901639344,0.7304347826086957,0.9728682170542635,0.9028776978417267,0.9365671641791045,0.6808510638297872,0.8421052631578947,0.7529411764705882,"[[42, 1, 18], [0, 251, 27], [12, 6, 96]]"
